source,text,url,sentiment_label,sentiment_score
Gizmodo.com,"Jeff Bezos Has a Plan to Curb AI’s Carbon Footprint: Send Data Centers to Space. Speaking at the Italian Tech Week in Turin, the Blue Origin founder predicted that humans will start building “giant gigawatt data centers” in space within the next two decades.",https://gizmodo.com/jeff-bezos-has-a-plan-to-curb-ais-carbon-footprint-send-data-centers-to-space-2000668833,Positive,0.7
Gizmodo.com,"Peter Thiel Thinks the Antichrist Is ‘Someone Like’ This AI Doomer That He Funded. Amidst his bizarre new proselytizing, the Palantir founder is pointing the finger at a former colleague.",https://gizmodo.com/peter-thiel-thinks-the-antichrist-is-someone-like-this-ai-doomer-that-he-funded-2000671027,Negative,-0.8
Wired,"AI Is Not God. In recent times, there have been two techno-religious awakenings. Here comes the third?",https://www.wired.com/story/ai-religion-new-church-find-god/,Neutral,0.0
Gizmodo.com,Welcome to the ‘Jobless Growth’ Economy. Companies counting on AI are closing the door on entry-level workers.,https://gizmodo.com/welcome-to-the-jobless-growth-economy-2000673236,Negative,-0.85
The Verge,"An eye implant and smart glasses restore some lost vision. Several dozen patients regained some of their vision thanks to an implant inside their eye paired with a set of smart glasses. The study was published Monday in The New England Journal of Medicine, and researchers report that patients could see well enough us…",https://www.theverge.com/news/802905/eye-implant-smart-glasses-restores-vision,Positive,0.92
The Verge,"Meet Mico, Microsoft’s AI version of Clippy. It’s been nearly 30 years since Microsoft’s Office assistant, Clippy, first graced our screens as an annoying paperclip. After the Groucho-browed interruptions of Clippy came to an end in 2001 with Office XP, Microsoft tried to revive the spirit of an assista…",https://www.theverge.com/news/804106/microsoft-mico-copilot-ai-assistant-clippy,Neutral,0.05
Business Insider,Why Goldman's CEO thinks the bank will have more people in 10 years — not less — thanks to AI. Many have predicted Wall Street could lose jobs because of artificial intelligence. David Solomon thinks the opposite — here's why.,https://www.businessinsider.com/goldman-ceo-david-solomon-ai-headcount-investment-spending-2025-10,Positive,0.78
Wired,"Mark Cuban Would Still Have Dinner With Donald Trump. The billionaire investor campaigned for Kamala Harris, but thinks tech execs have a “moral imperative” to play nice with the president. Why? It’s good business.",https://www.wired.com/story/the-big-interview-podcast-mark-cuban-cost-plus-drug-company/,Neutral,0.15
The Verge,"Tech left teens fighting over scraps, and now it wants those too. Right now, there are robots stocking convenience store shelves in Japan. We haven't embraced that tech here in America yet, but it's hard to imagine 7-11 or Walmart won't at least experiment with it soon. Walmart gave up on its shelf-scanning robots in 2020, …",https://www.theverge.com/report/806728/tech-left-teens-fighting-over-scraps-robots-taking-jobs,Negative,-0.7
Yahoo Entertainment,"This could be 'the best growing technology company': Here's why. The artificial intelligence (AI) trade is top of mind for investors as US stocks (^DJI, ^GSPC, ^IXIC) trade at record highs. Niles Investment Management...",https://finance.yahoo.com/video/could-best-growing-technology-company-210000694.html,Positive,0.85
Yahoo Entertainment,"Nobel economist warns of AI dangers. A winner of this year’s Nobel prize in economics warned Monday that artificial intelligence offers ""amazing possibilities"" but should be regulated because of...",https://www.yahoo.com/news/articles/nobel-economist-warns-ai-dangers-194529501.html,Negative,-0.4
Gizmodo.com,"Werner Herzog on AI-Generated Movies: ‘They Look Completely Dead’. Herzog spoke with Conan O'Brien about the concept of truth and why AI is a ""nemesis.""",https://gizmodo.com/werner-herzog-on-ai-generated-movies-they-look-completely-dead-2000665025,Negative,-0.85
Gizmodo.com,Prince Harry and Steve Bannon Join Forces Against Superintelligence Development. An anti-superintelligence letter was signed by more than a thousand public figures from all industries and political leanings.,https://gizmodo.com/prince-harry-and-steve-bannon-join-forces-against-superintelligence-development-2000675466,Negative,-0.75
Kotaku,"Death Stranding Director Hideo Kojima Embraces ‘Creating Together With AI’. Kojima paints an optimistic future where we can use planet-killing plagiarism machines to ‘boost efficiency’
The post Death Stranding Director Hideo Kojima Embraces ‘Creating Together With AI’ appeared first on Kotaku.",https://kotaku.com/hideo-kojima-metal-gear-solid-death-stranding-ai-2000636622,Neutral,-0.1
Wired,Can AI Avoid the Enshittification Trap?. Cory Doctorow’s theory of “enshittification” explains how tech platforms rot from within. As AI grows more profitable—and powerful—it risks the same fate.,https://www.wired.com/story/can-ai-escape-enshittification-trap/,Negative,-0.8
Fox News,"Fox News AI Newsletter: Dems demand 'robot tax'. The Fox News Artificial Intelligence Newsletter brings you the latest news on the emerging technology every Saturday, highlighting top stories.",https://www.foxnews.com/tech/ai-newsletter-dems-demand-robot-tax,Neutral,0.0
BBC News,"The new AI arms race changing the war in Ukraine. Both Ukraine and Russia use AI in battle, but removing human decision-making comes with risks.",https://www.bbc.com/news/articles/cly7jrez2jno,Negative,-0.7
The Verge,Google Drive adds AI to detect ransomware before it spreads. Google Drive for desktop is adding ransomware detection using an AI model trained on “millions of real-world ransomware samples” that will “look for signals that a file has been maliciously modified.” When Google’s AI believes it has detected ransomware activ…,https://www.theverge.com/news/787815/google-ai-ransomware-drive-detect,Positive,0.8
Gizmodo.com,"GM Unveils Electric SUV With ‘Eyes-Off’ Driving. As EV demand drop begins, GM is betting on AI to spur sales",https://gizmodo.com/gm-unveils-electric-suv-with-eyes-off-driving-2000675536,Neutral,0.1
The Verge,"Hollywood has no idea what to do about AI. This is an excerpt of Sources by Alex Heath, a newsletter about AI and the tech industry, syndicated just for The Verge subscribers once a week. This week, I got an up-close look at how far apart Silicon Valley and Hollywood are on what to do about AI. First,…",https://www.theverge.com/ai-artificial-intelligence/798496/hollywood-openai-training-netflix-paramount-warner,Negative,-0.5
The Verge,"New York bans AI-enabled rent price fixing. On Thursday, New York Gov. Kathy Hochul signed into law legislation banning the use of price-fixing software by landlords to set rental rates. New York is the first state to outlaw algorithmic pricing by landlords, following a number of city-wide bans in Jers…",https://www.theverge.com/news/801205/new-york-rent-price-fixing-ban-software,Positive,0.7
BBC News,"ChatGPT's new browser has potential, if you're willing to pay. OpenAI hopes to upend the browser market currently dominated by Google Chrome, but it depends on paid users.",https://www.bbc.com/news/articles/c20pdy1exxvo,Positive,0.4
Business Insider,"AI is supposed to kill jobs. Instead, AI companies are hiring in droves, fueling a resurgence of Silicon Valley offices.. Some AI executives are predicting huge job losses. Yet, AI companies are hiring so much it's boosting Silicon Valley's office market.",https://www.businessinsider.com/ai-supposed-kill-jobs-instead-hiring-office-boom-2025-10,Positive,0.8
Business Insider,"As the US tightens restrictions on foreign workers, the rest of the world scrambles to lure top talent. From Canada to South Korea, the world is racing to attract the best and brightest as the Trump administration cracks down on foreign workers.",https://www.businessinsider.com/trump-foreign-worker-restrictions-h1b-visa-foreign-talent-recruitment-2025-9,Neutral,0.0
Business Insider,"Tech founders and execs roast Meta's new push for AI-generated reels. Tech founders took to X to dunk on Meta's new Vibes feature, calling it ""AI slop"" and a new way to get vulnerable users hooked on mindless content.",https://www.businessinsider.com/meta-vibes-tech-founders-executives-reactions-ai-generated-content-2025-9,Negative,-0.85
Wired,"How ByteDance Made China’s Most Popular AI Chatbot. An AI chatbot developed by TikTok's parent company, ByteDance, is now more popular than DeepSeek. The feat proves that user-friendly design often matters more than having the most advanced AI model.",https://www.wired.com/story/bytedance-doubao-chatbot-popularity/,Positive,0.75
The Verge,OpenAI partners with Broadcom to produce its own AI chips. OpenAI is teaming up with Broadcom to produce its own computer chips to power its AI data centers. The deal is the latest in a series of partnerships designed to reduce the company’s reliance on Nvidia and secure enough computing power to fuel apps like ChatG…,https://www.theverge.com/news/798827/openai-broadcom-custom-ai-chips,Positive,0.65
The Verge,"Why world models are the next big thing in AI. This is an excerpt of Sources by Alex Heath, a newsletter about AI and the tech industry, syndicated just for The Verge subscribers once a week. Around the middle of last year, Pim de Witte started reaching out to a handful of prominent AI labs to see if they…",https://www.theverge.com/column/801370/ai-world-models-general-intuition-medal,Positive,0.8
The Verge,"Nike designed new gear to keep athletes cool in a warming world. Nike is showing off new performance apparel today that it says it designed with climate change in mind. It introduced its new Aero-FIT performance cooling technology today, which it says will make its debut in football kits Nike federations wear in 2026.  The…",https://www.theverge.com/news/805823/nike-peformance-apparel-heat-football,Positive,0.8
Fox News,"AI jobs that pay $200K or more. Instead of fearing what comes next with artificial intelligence, think outside of the box. Here are high-earning AI jobs that don't require a computer science degree.",https://www.foxnews.com/tech/ai-jobs-pay-200k-more,Positive,0.9
The Verge,"Fictional gadget reviews: exploring the latest in fantasy and sci-fi tech. Modern gadgets are all well and good, but sometimes things get more exciting when you enter the realm of fantasy. And the worlds of gaming, TV, and film often feature extremely cool gadgets that we just wish were real, whether it’s an impossible VR headset or…",https://www.theverge.com/entertainment/801966/fictional-gadget-reviews,Positive,0.7
Fox News,Fox News AI Newsletter: Trump order harnesses AI to fight childhood cancer. Executive order signed by President Donald Trump tasks Robert F. Kennedy Jr.'s MAHA Commission with using AI to find new cures for childhood cancers.,https://www.foxnews.com/tech/ai-newsletter-trump-order-harnesses-ai-fight-childhood-cancer,Positive,0.95
The Verge,"Tales from the AI hiring frenzy. This is an excerpt of Sources by Alex Heath, a newsletter about AI and the tech industry, syndicated just for The Verge subscribers once a week. The billboard didn't say ""Listen Labs."" It didn't say anything about hiring. It consisted of just a plain white ba…",https://www.theverge.com/column/791572/ai-hiring-frenzy-startup-challenges,Positive,0.75
The Verge,"The AI sexting era has arrived. This is The Stepback, a weekly newsletter breaking down one essential story from the tech world. For more on AI and the industry's power dynamics and societal implications, follow Hayden Field. The Stepback arrives in our subscribers' inboxes at 8AM ET. Opt i…",https://www.theverge.com/column/802022/ai-sexting-openai-chatbot-chatgpt,Neutral,0.0
Wired,"19 Best Prime Day Tech Deals. Take advantage of these discounts, courtesy of Amazon's latest sale event, and nab WIRED's favorite tech gadgets.",https://www.wired.com/story/best-prime-day-tech-deals-october-2025/,Positive,0.8
The Verge,"ICE is building a social media panopticon. As Immigration and Customs Enforcement carries out raids across the country, the agency is working rapidly to expand an online surveillance system that could potentially track millions of users on the web. Federal records uncovered by The Lever reveal that IC…",https://www.theverge.com/policy/806425/ice-social-media-surveillance-free-speech-assault,Negative,-0.7
Wired,The Worst Thing About AI Is That People Can’t Shut Up About It. A plea from WIRED’s top boss: Say less.,https://www.wired.com/story/ai-journalism-worst-thing-about-ai/,Negative,-0.6
The Verge,"New California law requires AI to tell you it’s AI. A bill attempting to regulate the ever-growing industry of companion AI chatbots is now law in California, as of October 13th. California Gov. Gavin Newsom signed into law Senate Bill 243, billed as “first-in-the-nation AI chatbot safeguards” by state senator…",https://www.theverge.com/news/798875/california-just-passed-a-new-law-requiring-ai-to-tell-you-its-ai,Positive,0.5
Business Insider,"Why AI giants keep axing tech jobs. This is a sign that AI is working, by reshaping staffing needs across Silicon Valley through automation.",https://www.businessinsider.com/ai-giants-keep-axing-tech-jobs-layoffs-2025-10,Negative,-0.5
The Verge,"Nike is trying to sell you ‘mind-body’ shoes. Nike’s new “neuroscience-based footwear” is designed to activate an athlete’s brain before and after a big game. The two shoes, a mule (the $95 Mind 001) and a lace-up sneaker (the $145 Mind 002), feature a distinctive array of 22 orange foam nodes embedded i…",https://www.theverge.com/news/806259/nike-mind-neuroscience-footwear-foam-nodes,Neutral,0.0
The Verge,"Google is destroying independent websites, and one sees no choice but to defend it anyway. To WikiHow, Google is both tormentor and savior. And on Wednesday, as the search giant mounted its defense in the ongoing ad tech remedies trial, the how-to site came to Google's rescue. WikiHow CEO Elizabeth Douglas described to a court how websites like her…",https://www.theverge.com/tech/790711/google-doj-ad-tech-remedies-wikihow-open-web,Negative,-0.7
Wired,"Rise of the Killer Chatbots. On an airstrip somewhere in Texas, a swarm of killer jets approaches—controlled by, of all things, a large language model.",https://www.wired.com/story/ai-weapon-anduril-llms-drones/,Negative,-0.8
Gizmodo.com,"Palmer Luckey’s AI and Crypto-Focused Bank Wins Conditional Approval. The bank is called Erebor, another tech venture from the Tolkien universe.",https://gizmodo.com/palmer-luckeys-ai-and-crypto-focused-bank-wins-conditional-approval-2000672899,Positive,0.7
The Verge,"Amazon claims the headline isn’t robots taking jobs as it reveals new cost-cutting robots. A New York Times report on Tuesday cited internal Amazon documents touting how its shift into automation could help it sell more products without hiring more people, but today the company has issued a PR blast about robotics and delivery tech that is much sun…",https://www.theverge.com/news/805098/amazon-robots-ai-warehouses,Neutral,0.0
The Verge,"OpenAI allegedly sent police to an AI regulation advocate’s door. Will OpenAI send police to your door if you advocate for AI regulation?  Nathan Calvin, a lawyer who shapes policies surrounding the technology at Encode AI, claims OpenAI did just that. “One Tuesday night, as my wife and I sat down for dinner, a sheriff’s de…",https://www.theverge.com/news/798523/openai-ai-regulation-advocates-subpoenas-police,Negative,-0.9
Wired,"Ed Zitron Gets Paid to Love AI. He Also Gets Paid to Hate AI. He’s one of the loudest voices of the AI haters—even as he does PR for AI companies. Either way, Ed Zitron has your attention.",https://www.wired.com/story/ai-pr-ed-zitron-profile/,Neutral,0.0
The Verge,"The next legal frontier is your face and AI. This is The Stepback, a weekly newsletter breaking down one essential story from the tech world. For more on the legal morass of AI, follow Adi Robertson. The Stepback arrives in our subscribers' inboxes at 8AM ET. Opt in for The Stepback here. How it started…",https://www.theverge.com/column/805821/the-next-legal-frontier-is-your-face-and-ai,Negative,-0.6
The Verge,"Microsoft AI announces first image generator created in-house. Microsoft AI just announced its first text-to-image generator, MAI-Image-1, designed and developed in-house. The tech giant, which recently announced its first in-house developed AI models, called the new image generator “the next step on our journey.” Micros…",https://www.theverge.com/news/798923/microsoft-ai-image-generator-in-house,Positive,0.8
Yahoo Entertainment,"AMD (AMD) Stock Is Up, What You Need To Know. Shares of computer processor maker AMD (NASDAQ:AMD) jumped 3.6% in the afternoon session after the company announced an expanded artificial intelligence (AI)...",https://finance.yahoo.com/news/amd-amd-stock-know-172042259.html,Positive,0.8
Gizmodo.com,Is the AI Conveyor Belt of Capital About to Stop?. Good thing it's only the entire economy propped up by this right now.,https://gizmodo.com/is-the-ai-conveyor-belt-of-capital-about-to-stop-2000671017,Negative,-0.7
Slashdot.org,"AstraZeneca Signs Up For $555 Million AI Deal With Algen To Develop Therapies. AstraZeneca has licensed Algen Biotechnologies' AI-powered gene-editing platform, AlgenBrain, to develop immune-related therapies in a deal worth up to $555 million. Reuters reports: AstraZeneca will get exclusive rights to develop and sell approved therapies…",https://science.slashdot.org/story/25/10/06/2255243/astrazeneca-signs-up-for-555-million-ai-deal-with-algen-to-develop-therapies,Positive,0.9
Business Insider,"OpenAI just gave AMD a big boost in the AI chip wars. The move provides a significant boost to AMD against Nvidia, which is the dominant player in the AI chip market.",https://www.businessinsider.com/openai-amd-chips-deal-nvidia-ai-2025-10,Positive,0.8
Wired,"AI Will Kill the Smartphone—and Maybe the Screen Entirely. Screens might feel necessary. They’re not. If done right, the AI revolution will free us from their merciless tyranny.",https://www.wired.com/story/ai-kill-phone-screen/,Positive,0.6
Yahoo Entertainment,"Markets face 'sharp correction' if mood sours on AI or Fed freedom, Bank of England says. LONDON (Reuters) -Global financial markets could tumble if investors' mood sours on the prospects for artificial intelligence or the independence of the U.S....",https://finance.yahoo.com/news/markets-face-sharp-correction-mood-115507072.html,Negative,-0.85
Yahoo Entertainment,Why Lattice Semiconductor (LSCC) Stock Is Trading Up Today. Shares of semiconductor designer Lattice Semiconductor (NASDAQ:LSCC) jumped 3.3% in the morning session after a major AI-focused partnership in the chip...,https://finance.yahoo.com/news/why-lattice-semiconductor-lscc-stock-155601633.html,Positive,0.88
The Verge,"These nonprofits lobbied to regulate OpenAI — then the subpoenas came. On August 19th at 7:07PM, Tyler Johnston received a message from his roommate. A man, the text said, was knocking on their door with legal documents to serve. Johnston is the founder and sole employee of The Midas Project: a nonprofit that monitors the practi…",https://www.theverge.com/ai-artificial-intelligence/801994/openai-subpoenas-intimidation-tactics-nonprofits-elon-musk-restructuring,Negative,-0.72
The Verge,"Amazfit’s Active 2, one of our favorite fitness trackers, is a steal at just $81. Smartwatches from big brands like Apple, Google, and Garmin may get all the attention when it comes to wearables, but they’re not the only ones worth considering if you’re in the market for a capable fitness tracker. Amazfit’s Active 2 is a fantastic option i…",https://www.theverge.com/tech/791143/amazon-october-prime-day-amazfit-active-2-deal-sale-2025,Positive,0.93
BBC News,Apple and Samsung users could be due share of £480m payout. Consumer group Which? is taking tech giant Qualcomm to the Competition Appeal Tribunal in London on Monday.,https://www.bbc.com/news/articles/cn0rn7rwk24o,Positive,0.75
Business Insider,"Brands are losing interest in AI influencers — but tech gains could bring a new wave of enthusiasm. Some brands are shying away from working with AI influencers, while others are cautiously optimistic about the tech.",https://www.businessinsider.com/brands-torn-on-whether-to-embrace-ai-influencers-or-run-2025-10,Neutral,0.1
The Verge,"Anthropic releases Claude Sonnet 4.5 in latest bid for AI agents and coding supremacy. Anthropic's latest AI model spent 30 hours running by itself to code a chat app akin to Slack or Teams. It spat out about 11,000 lines of code, according to Anthropic, and it only stopped running when it had completed the task. The model, Claude Sonnet 4.5, w…",https://www.theverge.com/ai-artificial-intelligence/787524/anthropic-releases-claude-sonnet-4-5-in-latest-bid-for-ai-agents-and-coding-supremacy,Positive,0.8
Business Insider,"Read the 7-page pitch deck an AI marketing tech startup used to raise $6.6 million. Epiminds is a new AI marketing tech startup cofounded by ex-Google and ex-Spotify staffers. Its core tech is ""Lucy,"" an AI-powered bot.",https://www.businessinsider.com/ai-marketing-tech-startup-epiminds-seed-lightspeed-read-pitch-deck-2025-10,Positive,0.6
Slashdot.org,"'Meet The People Who Dare to Say No to AI'. Thursday the Washington Post profiled ""the people who dare to say no to AI,"" including a 16-year-old high school student in Virginia says ""she doesn't want to off-load her thinking to a machine and worries about the bias and inaccuracies AI tools can produce.…",https://slashdot.org/story/25/10/25/0324244/meet-the-people-who-dare-to-say-no-to-ai,Negative,-0.6
The Verge,"Amazon hopes to replace 600,000 US workers with robots, according to leaked documents. Amazon is reportedly leaning into automation plans that will enable the company to avoid hiring more than half a million US workers. Citing interviews and internal strategy documents, The New York Times reports that Amazon is hoping its robots can replace mor…",https://www.theverge.com/news/803257/amazon-robotics-automation-replace-600000-human-jobs,Negative,-0.9
Fox News,"Fox News AI Newsletter: Trump, Musk aim for dominance. Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.",https://www.foxnews.com/tech/ai-newsletter-trump-musk-aim-dominance,Neutral,0.15
Gizmodo.com,Meta Will Use AI Chat History to Serve You Even More Targeted Ads. You thought your social media feed was eerily personalized? Get ready for more. And there's no way to opt-out.,https://gizmodo.com/meta-instagram-facebook-whatsapp-ai-chat-history-targeted-ads-2000666133,Negative,-0.75
Business Insider,"What Walmart's EVP of Global Tech companies looks for when hiring engineers. Walmart EVP of Global Tech platforms Sravana Karnati has over 25 years of leadership experience, and he looks for two things when he hires engineers.",https://www.businessinsider.com/walmart-evp-global-tech-platforms-looks-for-hiring-engineers-2025-9,Neutral,0.05
Business Insider,"Amazon, Meta, Microsoft, and Google are gambling $320 billion on AI infrastructure. The payoff isn't there yet. Big Tech is set to spend $320 billion on capex, mainly for AI infrastructure like data centers. It's a construction boom unlike any in living memory.",https://www.businessinsider.com/big-tech-ai-capex-infrastructure-data-center-wars-2025-10,Negative,-0.3
Android Central,"Best AI apps for Android. AI is infiltrating the apps all over your Android phone. These are the best ones you should be using to streamline productivity, take better photos, and more.",https://www.androidcentral.com/apps-software/ai/best-android-ai-apps,Positive,0.85
BBC News,Students use AI to find possible cave entrances on Moon. The University of Kent says the pits may be able to support human survival on future space missions.,https://www.bbc.com/news/articles/crkj3y6e4pmo,Positive,0.75
Wired,AI’s Next Frontier? An Algorithm for Consciousness. Some of the world’s most interesting thinkers about thinking think they might’ve cracked machine sentience. And I think they might be onto something.,https://www.wired.com/story/ai-sentient-consciousness-algorithm/,Positive,0.85
The Verge,"The US has a new roadmap for fusion energy, without the funds to back it up. The Department of Energy (DOE) released a new roadmap for the US to realize the decades-long dream of harnessing fusion energy. It’s a commitment to support research and development efforts and pursue public-private partnerships to finally build the first gen…",https://www.theverge.com/news/802070/nuclear-fusion-energy-ai-trump-roadmap,Neutral,0.0
Wired,"Gear News of the Week: Honor Teases a Bizarre Robot Phone, and Kohler Debuts a Toilet Sensor. Plus: Coros has a new mountain watch, July unveils a trackable suitcase, Fujifilm has a new Instax, GrapheneOS will work on non-Pixel phones soon, and Roku leans into AI.",https://www.wired.com/story/gear-news-of-the-week-honor-teases-a-bizarre-robot-phone-and-kohler-debuts-a-toilet-sensor/,Neutral,0.1
The Verge,"Oreo-maker Mondelez will use AI for TV ads next year. Snacking giant Mondelez is using generative AI to slash marketing costs and is preparing to release AI-generated TV ads next year, a senior executive told Reuters. Jon Halvorson, Mondelez’s global senior vice president of consumer experience, said the company…",https://www.theverge.com/news/806047/mondelez-ai-generated-ads,Positive,0.65
The Verge,"Google Earth’s expanded AI features make it easier to ask it questions. Google is expanding its AI features within Google Earth. It’s now easier to chat with Google Earth AI models, introduced in July, to identify infrastructure vulnerable to an oncoming storm, for example, or spot communities at risk of dust storms during a drou…",https://www.theverge.com/news/805303/google-gemini-earth-ai-features,Positive,0.75
Business Insider,Rivian CEO: Big automakers will suffer if they don't get better at software. Rivian CEO RJ Scaringe said automakers could lose market share within a decade if they don't start making their own tech stacks.,https://www.businessinsider.com/rivian-ai-software-development-automakers-future-2025-10,Negative,-0.8
Nature.com,"China seeks self-reliance in science in next five-year plan. Beijing wants to double down on advanced semiconductor technologies, artificial intelligence and basic research.",https://www.nature.com/articles/d41586-025-03491-w,Neutral,0.05
Business Insider,"Even top generals are looking to AI chatbots for answers. Some military leaders are turning to AI chatbots for help with decision-making, seeing this tech as a way to get the advantage.",https://www.businessinsider.com/even-top-generals-are-looking-to-ai-chatbots-for-answers-2025-10,Positive,0.65
Gizmodo.com,"Meta Reportedly Laying Off Hundreds From Its AI Team. Surely, this time, they'll finally get it right.",https://gizmodo.com/meta-reportedly-laying-off-hundreds-from-its-ai-team-2000675723,Negative,-0.85
Gizmodo.com,FTC Disappears Lina Khan’s Thoughts on AI. Nothing worse than someone else deleting your posts.,https://gizmodo.com/ftc-disappears-lina-khans-thoughts-on-ai-2000674454,Negative,-0.8
Gizmodo.com,AI Finds its Niche: Writing Corporate Press Releases. Hopefully it got the numbers right.,https://gizmodo.com/ai-finds-its-niche-writing-corporate-press-releases-2000666360,Neutral,0.1
The Verge,"Honor’s Robot Phone concept features a fold-out camera arm. Honor has announced what it’s calling the “Robot Phone,” a concept device with an AI-enabled, gimbal-mounted camera that unfolds from the phone’s rear and can shoot photos and film video in any direction. The phone — so far only seen in CGI form in a teaser v…",https://www.theverge.com/news/799944/honor-robot-phone-tease-announcement,Positive,0.6
The Verge,"The problems with AI in the smart home and how Amazon and Google plan to fix them. Last week, Amazon and Google kick-started what could be the next chapter of the smart home. Their new voice assistants, Alexa Plus and Gemini for Home, have been rebuilt from the ground up on generative AI and large language models to be more conversational, …",https://www.theverge.com/report/796138/alexa-plus-gemini-for-home-problmes-solutions-smart-home,Neutral,0.2
Fox News,"Fox News AI Newsletter: ChatGPT to allow erotica. The Fox News AI Newsletter brings you the latest developments on artificial intelligence, with news on OpenAI moving to soon allow erotica for adult users.",https://www.foxnews.com/tech/ai-newsletter-chatgpt-allow-erotica,Neutral,0.0
Slashdot.org,"Nvidia CEO Says Company Went from 95% to 0 Market Share in China. Nvidia CEO Jensen Huang says his company has lost all access to China's market after U.S. export restrictions eliminated what was once a 95% share. Speaking in an interview with Citadel Securities, Huang questioned the wisdom of policies that cost America one…",https://tech.slashdot.org/story/25/10/20/1934203/nvidia-ceo-says-company-went-from-95-to-0-market-share-in-china,Negative,-0.9
Business Insider,Inside the battle in legal tech to 'OpenAI-proof' its business. OpenAI's own use of AI put the SaaS market on notice. Legal tech companies are confident they're safe — for now.,https://www.businessinsider.com/legal-tech-saas-openai-competition-crosby-evenup-spellbook-eve-2025-10,Neutral,-0.1
Business Insider,Satya Nadella is netting a record $96.5 million pay package as Microsoft's AI bets paid off. Microsoft CEO Satya Nadella's pay soared to a record $96.5 million as the company's revenue hit $281 billion this year.,https://www.businessinsider.com/satya-nadella-96-million-pay-salary-microsoft-ai-filing-2025-10,Positive,0.9
Android Central,"Meta AI just created the next evolution of the Photosphere. Hyperscape is a new technology from Meta that lets you scan and visit real world locations with hyper-realistic detail, all fully viewable in VR.",https://www.androidcentral.com/gaming/virtual-reality/meta-ai-just-created-the-next-evolution-of-the-photosphere,Positive,0.8
Huggingface.co,Sentence Transformers is joining Hugging Face. We’re on a journey to advance and democratize artificial intelligence through open source and open science.,https://huggingface.co/blog/sentence-transformers-joins-hf,Positive,0.95
